,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,job_group,experience_number
0,2023,SE,FT,Principal Data Scientist,80000,EUR,85847,ES,100,ES,L,Scientist,3
1,2023,MI,CT,ML Engineer,30000,USD,30000,US,100,US,S,Engineer,2
2,2023,MI,CT,ML Engineer,25500,USD,25500,US,100,US,S,Engineer,2
3,2023,SE,FT,Data Scientist,175000,USD,175000,CA,100,CA,M,Scientist,3
4,2023,SE,FT,Data Scientist,120000,USD,120000,CA,100,CA,M,Scientist,3
5,2023,SE,FT,Applied Scientist,222200,USD,222200,US,0,US,L,Scientist,3
6,2023,SE,FT,Applied Scientist,136000,USD,136000,US,0,US,L,Scientist,3
7,2023,SE,FT,Data Scientist,219000,USD,219000,CA,0,CA,M,Scientist,3
8,2023,SE,FT,Data Scientist,141000,USD,141000,CA,0,CA,M,Scientist,3
9,2023,SE,FT,Data Scientist,147100,USD,147100,US,0,US,M,Scientist,3
10,2023,SE,FT,Data Scientist,90700,USD,90700,US,0,US,M,Scientist,3
11,2023,SE,FT,Data Analyst,130000,USD,130000,US,100,US,M,Analyst,3
12,2023,SE,FT,Data Analyst,100000,USD,100000,US,100,US,M,Analyst,3
13,2023,EN,FT,Applied Scientist,213660,USD,213660,US,0,US,L,Scientist,1
14,2023,EN,FT,Applied Scientist,130760,USD,130760,US,0,US,L,Scientist,1
15,2023,SE,FT,Data Modeler,147100,USD,147100,US,0,US,M,Other,3
16,2023,SE,FT,Data Modeler,90700,USD,90700,US,0,US,M,Other,3
17,2023,SE,FT,Data Scientist,170000,USD,170000,US,0,US,M,Scientist,3
18,2023,SE,FT,Data Scientist,150000,USD,150000,US,0,US,M,Scientist,3
19,2023,MI,FT,Data Analyst,150000,USD,150000,US,100,US,M,Analyst,2
20,2023,MI,FT,Data Analyst,110000,USD,110000,US,100,US,M,Analyst,2
21,2023,SE,FT,Research Engineer,275000,USD,275000,DE,0,DE,M,Engineer,3
22,2023,SE,FT,Research Engineer,174000,USD,174000,DE,0,DE,M,Engineer,3
23,2023,SE,FT,Analytics Engineer,230000,USD,230000,GB,100,GB,M,Engineer,3
24,2023,SE,FT,Analytics Engineer,143200,USD,143200,GB,100,GB,M,Engineer,3
25,2023,SE,FT,Business Intelligence Engineer,225000,USD,225000,US,0,US,M,Engineer,3
26,2023,SE,FT,Business Intelligence Engineer,156400,USD,156400,US,0,US,M,Engineer,3
27,2023,SE,FT,Machine Learning Engineer,200000,USD,200000,US,0,US,M,Engineer,3
28,2023,SE,FT,Machine Learning Engineer,130000,USD,130000,US,0,US,M,Engineer,3
29,2023,SE,FT,Data Strategist,90000,USD,90000,CA,0,CA,M,Other,3
30,2023,SE,FT,Data Strategist,72000,USD,72000,CA,0,CA,M,Other,3
31,2023,SE,FT,Data Engineer,253200,USD,253200,US,0,US,M,Engineer,3
32,2023,SE,FT,Data Engineer,90700,USD,90700,US,0,US,M,Engineer,3
33,2023,SE,FT,Computer Vision Engineer,342810,USD,342810,US,0,US,M,Engineer,3
34,2023,SE,FT,Computer Vision Engineer,184590,USD,184590,US,0,US,M,Engineer,3
35,2023,MI,FT,Data Engineer,162500,USD,162500,US,0,US,M,Engineer,2
36,2023,MI,FT,Data Engineer,130000,USD,130000,US,0,US,M,Engineer,2
37,2023,MI,FT,Data Analyst,105380,USD,105380,US,0,US,M,Analyst,2
38,2023,MI,FT,Data Analyst,64500,USD,64500,US,0,US,M,Analyst,2
39,2023,EN,FT,Data Quality Analyst,100000,USD,100000,NG,100,NG,L,Analyst,1
40,2023,EN,FT,Compliance Data Analyst,30000,USD,30000,NG,100,NG,L,Analyst,1
41,2022,MI,FT,Machine Learning Engineer,1650000,INR,20984,IN,50,IN,L,Engineer,2
